,run,episode,episodeReward,episodeProgress,episodeLapTime,episodeCrash
0,0.0,0.0,-3.7699999999999996,7.400000000000001,,1.0
0,0.0,1.0,-4.43,3.5999999999999996,,1.0
0,0.0,2.0,-2.52,14.200000000000001,,1.0
0,0.0,3.0,-4.33,4.099999999999999,,1.0
0,0.0,4.0,-3.4399999999999995,9.100000000000003,,1.0
0,0.0,5.0,-2.41,14.8,,1.0
0,0.0,6.0,-3.249999999999999,10.300000000000004,,1.0
0,0.0,7.0,-2.8699999999999997,12.400000000000006,,1.0
0,0.0,8.0,-2.9899999999999993,11.500000000000002,,1.0
0,0.0,9.0,-4.45,3.5999999999999996,,1.0
0,0.0,10.0,-4.47,3.3,,1.0
0,0.0,11.0,-3.3899999999999997,9.400000000000004,,1.0
0,0.0,12.0,-2.7899999999999996,12.800000000000002,,1.0
0,0.0,13.0,-3.6899999999999995,7.800000000000001,,1.0
0,0.0,14.0,-3.709999999999999,7.700000000000002,,1.0
0,0.0,15.0,-3.5799999999999996,8.400000000000002,,1.0
0,0.0,16.0,-4.55,3.0999999999999996,,1.0
0,0.0,17.0,-2.67,13.600000000000005,,1.0
0,0.0,18.0,-2.370000000000001,15.000000000000007,,1.0
0,0.0,19.0,-3.8199999999999994,6.900000000000001,,1.0
0,0.0,20.0,-2.9099999999999993,12.400000000000007,,1.0
0,0.0,21.0,-4.1899999999999995,4.999999999999999,,1.0
0,0.0,22.0,-2.400000000000001,15.000000000000005,,1.0
0,0.0,23.0,-2.6999999999999997,13.300000000000002,,1.0
0,0.0,24.0,-4.42,3.7,,1.0
0,0.0,25.0,-3.2199999999999993,10.400000000000002,,1.0
0,0.0,26.0,-2.6,13.900000000000004,,1.0
0,0.0,27.0,-3.7299999999999995,7.500000000000001,,1.0
0,0.0,28.0,-3.009999999999999,11.500000000000004,,1.0
0,0.0,29.0,-3.5999999999999996,8.1,,1.0
0,0.0,30.0,-4.33,3.999999999999999,,1.0
0,0.0,31.0,-2.7699999999999996,13.000000000000002,,1.0
0,0.0,32.0,-2.41,14.900000000000002,,1.0
0,0.0,33.0,-3.6599999999999993,8.000000000000002,,1.0
0,0.0,34.0,-3.8899999999999997,6.700000000000001,,1.0
0,0.0,35.0,-3.2399999999999993,10.400000000000002,,1.0
0,0.0,36.0,-2.7199999999999998,13.300000000000004,,1.0
0,0.0,37.0,-4.09,5.6000000000000005,,1.0
0,0.0,38.0,-2.270000000000001,15.600000000000001,,1.0
0,0.0,39.0,-2.52,14.200000000000001,,1.0
0,0.0,40.0,-2.6999999999999997,13.600000000000007,,1.0
0,0.0,41.0,-3.5299999999999994,8.600000000000003,,1.0
0,0.0,42.0,-2.5,14.400000000000002,,1.0
0,0.0,43.0,-3.6599999999999993,7.9,,1.0
0,0.0,44.0,-3.3099999999999996,9.8,,1.0
0,0.0,45.0,-3.3899999999999997,9.600000000000005,,1.0
0,0.0,46.0,-3.619999999999999,8.300000000000002,,1.0
0,0.0,47.0,-3.67,7.600000000000001,,1.0
