,run,episode,episodeReward,episodeProgress,episodeLapTime,episodeCrash
0,0.0,0.0,-9.605,1.8000000000000003,,1.0
0,0.0,1.0,-6.609999999999999,14.4,,1.0
0,0.0,2.0,-9.72,1.4000000000000001,,1.0
0,0.0,3.0,-9.24,3.5,,1.0
0,0.0,4.0,-8.45,6.7,,1.0
0,0.0,5.0,-7.5,10.9,,1.0
0,0.0,6.0,-9.77,1.1,,1.0
0,0.0,7.0,-7.97,8.799999999999999,,1.0
0,0.0,8.0,-9.605,1.8000000000000003,,1.0
0,0.0,9.0,-8.045,8.3,,1.0
0,0.0,10.0,-9.72,1.4000000000000001,,1.0
0,0.0,11.0,-7.869999999999999,9.1,,1.0
0,0.0,12.0,-9.43,2.5000000000000004,,1.0
0,0.0,13.0,-6.914999999999999,13.500000000000002,,1.0
0,0.0,14.0,-7.994999999999999,8.7,,1.0
0,0.0,15.0,-9.325,2.9000000000000004,,1.0
0,0.0,16.0,-8.185,7.7,,1.0
0,0.0,17.0,-8.705,5.6000000000000005,,1.0
0,0.0,18.0,-9.16,4.1000000000000005,,1.0
0,0.0,19.0,-9.11,3.8,,1.0
0,0.0,20.0,-8.92,5.200000000000001,,1.0
