,run,episode,episodeReward,episodeProgress,episodeLapTime,episodeCrash
0,0.0,0.0,-9.54,2.5,,1.0
0,0.0,1.0,-9.325,3.4000000000000004,,1.0
0,0.0,2.0,-9.35,3.2,,1.0
0,0.0,3.0,-9.185,4.0,,1.0
0,0.0,4.0,-9.515,2.4000000000000004,,1.0
0,0.0,5.0,-9.475,2.4000000000000004,,1.0
0,0.0,6.0,-9.525,2.1,,1.0
0,0.0,7.0,-9.665,1.6,,1.0
0,0.0,8.0,-7.93,9.1,,1.0
0,0.0,9.0,-8.805,5.199999999999999,,1.0
0,0.0,10.0,-9.375,2.7,,1.0
0,0.0,11.0,-9.02,4.2,,1.0
0,0.0,12.0,-9.755,1.4000000000000001,,1.0
0,0.0,13.0,-9.615,1.9000000000000001,,1.0
0,0.0,14.0,-9.73,1.5000000000000002,,1.0
0,0.0,15.0,-9.73,1.4,,1.0
0,0.0,16.0,-9.02,4.2,,1.0
0,0.0,17.0,-9.235,3.6000000000000005,,1.0
0,0.0,18.0,-9.31,3.0,,1.0
0,0.0,19.0,-9.755,1.2000000000000002,,1.0
0,0.0,20.0,-8.54,6.6000000000000005,,1.0
0,0.0,21.0,-9.465,2.8,,1.0
0,0.0,22.0,-9.68,1.9,,1.0
0,0.0,23.0,-9.465,2.6999999999999997,,1.0
0,0.0,24.0,-9.78,1.1,,1.0
0,0.0,25.0,-9.465,2.4,,1.0
0,0.0,26.0,-9.845,1.1,,1.0
0,0.0,27.0,-9.845,1.2,,1.0
0,0.0,28.0,-9.655,1.7,,1.0
0,0.0,29.0,-9.87,0.8,,1.0
0,0.0,30.0,-9.705,1.5,,1.0
0,0.0,31.0,-9.78,1.0,,1.0
0,0.0,32.0,-9.87,0.8,,1.0
0,0.0,33.0,-9.285,3.4000000000000004,,1.0
0,0.0,34.0,-9.755,1.3,,1.0
0,0.0,35.0,-9.31,3.5000000000000004,,1.0
0,0.0,36.0,-8.875,5.0,,1.0
0,0.0,37.0,-9.87,0.9000000000000001,,1.0
0,0.0,38.0,-9.73,1.2000000000000002,,1.0
0,0.0,39.0,-9.45,2.5000000000000004,,1.0
0,0.0,40.0,-9.755,1.2000000000000002,,1.0
0,0.0,41.0,-8.97,4.4,,1.0
0,0.0,42.0,-9.73,1.3000000000000003,,1.0
0,0.0,43.0,-9.845,1.1,,1.0
0,0.0,44.0,-9.87,0.8,,1.0
0,0.0,45.0,-9.845,1.3,,1.0
0,0.0,46.0,-9.705,1.4000000000000004,,1.0
0,0.0,47.0,-9.705,1.5,,1.0
0,0.0,48.0,-9.68,1.5,,1.0
0,0.0,49.0,-9.54,2.3,,1.0
0,0.0,50.0,-9.565,2.0,,1.0
0,0.0,51.0,-9.325,3.2,,1.0
0,0.0,52.0,-9.565,2.5,,1.0
0,0.0,53.0,-9.565,2.1,,1.0
0,0.0,54.0,-9.515,2.5,,1.0
0,0.0,55.0,-9.705,1.6,,1.0
0,0.0,56.0,-9.755,1.1,,1.0
0,0.0,57.0,-9.185,3.8000000000000007,,1.0
0,0.0,58.0,-9.755,1.3,,1.0
0,0.0,59.0,-9.325,3.3000000000000003,,1.0
0,0.0,60.0,-9.73,1.2000000000000002,,1.0
0,0.0,61.0,-9.425,2.6,,1.0
0,0.0,62.0,-9.705,1.5,,1.0
0,0.0,63.0,-9.135,4.0,,1.0
0,0.0,64.0,-9.78,1.2,,1.0
0,0.0,65.0,-9.07,4.3,,1.0
0,0.0,66.0,-8.120000000000001,8.4,,1.0
0,0.0,67.0,-8.3,7.700000000000001,,1.0
0,0.0,68.0,-8.6,6.000000000000001,,1.0
0,0.0,69.0,-9.73,1.4,,1.0
0,0.0,70.0,-8.005,8.6,,1.0
0,0.0,71.0,-6.965,13.1,,1.0
0,0.0,72.0,-9.73,1.6,,1.0
0,0.0,73.0,-9.64,1.7000000000000002,,1.0
0,0.0,74.0,-9.235,3.400000000000001,,1.0
0,0.0,75.0,-7.195,12.200000000000003,,1.0
0,0.0,76.0,-8.17,8.200000000000001,,1.0
0,0.0,77.0,-7.31,11.700000000000001,,1.0
